,AirT,PP2,PP7,WFPS25cm,NH4,NO3,DAF_TD,Year,DAF_SD,Month
929,7.8,0.0,4.0,0.6736634506818323,10.491171,23.655971,294.0,2016,247.0,2
3241,17.171362622458943,2.7241775945435647,47.61553946641875,0.43174408756835225,6.616752204855281,13.369877045122076,60.530291640283195,2013,53.13029164028319,7
1281,21.7,3.0,25.0,0.5363834427783172,24.802769,35.379119,56.0,2017,14.0,7
495,19.025,27.686666666666667,34.49666666666667,0.6298972944557201,10.523918,17.673200166666668,46.333333333333336,2013,309.3333333333333,6
3283,16.409168440509358,32.41796540140679,40.59405628694754,0.39595274450459467,7.765637307682432,12.933389776040222,199.04157797453206,2007,174.04157797453206,9
809,17.87,0.0,7.109999999999999,0.22558605072463767,19.49053125,14.084101562499999,71.0,2014,42.0,7
3036,18.94236893297873,0.05441282799060718,0.05441282799060718,0.4160384089682364,17.655738334747817,28.63426637888255,8.029467055511573,2013,73.82946705551157,5
2968,14.357506290029537,6.133166866799376,15.750719029201733,0.4027107140669695,14.245422315590442,7.195361535538474,162.10244584123575,2011,154.11708096141228,9
2405,5.814524397536077,2.983601153840308,5.613876103781243,0.5049869265074441,5.573802908744284,9.617049051537842,532.9354976036932,2008,488.7054564273699,4
3199,20.569600709776896,9.659551065013838,27.78374797564276,0.39488887184265553,17.256758774142952,5.824397395354881,154.16263465602708,2009,144.37452609699378,8
2700,19.313456562653975,0.20431733667947768,14.007449890612039,0.4079060143447007,4.5144368545025255,6.138636365001181,694.2991889451806,2010,656.7509969853343,4
1998,23.664293196005197,0.01427260956582196,0.5185410891889958,0.1191177306384871,12.722118015095127,15.894027884087558,386.4067429651492,2011,347.6269718605968,7
3530,17.537867763343925,3.6296624275508185,61.03890714574717,0.4058718888402662,7.036860491407775,10.795273637840015,48.629297121729856,2011,40.62748780731728,6
3357,7.488348868298958,0.0,19.277728238521945,0.39201471997347404,9.767763729196902,8.507851256436412,100.81321559086666,2009,443.7000377981442,7
2441,24.79944528886475,0.035899858247217864,40.71282385028147,0.3475557920370076,2.77630820173016,15.766335731852624,152.03597695171518,2007,127.03597695171518,8
1751,5.336644736475155,0.0,25.68605261014907,0.3893906443785586,4.083276782551964,2.3115618789753554,331.4671052704969,2009,294.06743422336956,3
914,-0.1,0.0,2.0,0.5476147455556782,10.726616,23.222231,269.0,2016,222.0,1
2991,21.984558666700238,27.752099672054637,47.101227148836784,0.40503111855300344,3.4170875959765357,3.835827154208407,64.55340584789433,2009,53.7670292394716,5
1207,-3.1,14.0,44.0,0.776382467229237,10.621508,22.748449,297.0,2017,258.0,3
1804,20.053468071554978,3.2328558130330727,11.276862321851748,0.26770994326106573,5.277549975921218,18.266493431861,432.05347319566374,2003,380.6951515436288,7
1001,11.4,26.0,50.0,0.734639120039292,10.449319,25.271798,370.0,2016,323.0,5
1055,23.8,21.0,16.0,0.5233716990214858,26.620422,58.385687,65.0,2016,26.0,7
1675,8.536987953176283,2.5126886311357888,53.24003590691601,0.371977694861857,4.660866234375668,7.270340796450472,507.6666722697675,2003,455.82795988117033,9
1280,21.1,11.0,22.0,0.5435720689577519,26.813462,36.904797,55.0,2017,13.0,7
303,16.6,0.25,21.990000000000002,0.47711054147598975,6.991098,20.83205,141.0,2012,107.0,9
650,-7.1,7.37,15.75,0.6908474384887253,8.717887,19.287655,223.0,2013,186.0,12
860,14.9,13.21,16.0,0.6740623064303948,5.685257,14.101483,146.0,2014,107.0,10
503,22.7,0.0,23.87,0.6007014656710138,41.936636,58.272623,46.0,2013,9.0,6
3079,21.479176852221904,1.8122229246111532,11.990068252784889,0.3362424256817391,5.745598078896498,6.143496256649067,268.6808521114177,2004,77.68085211141772,6
1877,9.57826625764225,1.326479846345269,19.901383028728294,0.43618089705896834,5.654550368593665,4.491385841859218,506.25919385381076,2006,466.936952009954,9
3271,11.786222899183485,0.0,0.0,0.40185312136647416,17.142674247912502,15.128345684253933,29.39277512122147,2007,4.392775121221469,4
2896,11.945849831913565,0.1096016872674655,1.9189237721510288,0.3852972849785105,8.872502940217826,6.562895594398694,167.09615835972664,2004,23.84912446576147,4
2137,9.373272966151884,1.5221525924387145,1.6422340839222807,0.4327039626798041,4.8786049848062465,8.37483401620265,521.8690813539247,2003,469.9563604513082,9
3135,8.774369314294795,3.6692568985161946,15.39224509355046,0.5310472755784443,10.3033148944756,5.6490541758757615,202.23586784319957,2004,11.235867843199571,4
28,7.72,0.0,2.54,0.5310472755784443,9.8028125,6.21109375,195.0,2004,4.0,4
864,11.4,7.62,72.14,0.7245181375877147,6.373724,14.095491,151.0,2014,112.0,10
369,3.8,0.0,7.36,0.6861830604180275,8.816816,25.441489,221.0,2012,187.0,12
1383,18.446381213676577,0.5982870114840936,3.618004540194327,0.35578859221406567,6.69173887899804,7.695029490910845,370.5374741604295,2006,330.5374741604295,5
1622,16.488762567554865,0.6820948620885599,3.964243479721989,0.34086606019906074,5.076046966303066,11.440489141056101,381.777504588558,2004,336.222495411442,5
1113,21.2,12.0,12.0,0.6550149979095286,6.71797,15.002182,131.0,2016,92.0,9
24,9.37,1.524,1.524,0.43288134057971017,4.87045,8.402637499999999,522.0,2003,470.0,10
652,-5.1,2.54,13.719999999999999,0.6908474384887253,8.731963,19.341928,225.0,2013,188.0,12
1824,12.853502423777558,1.7223263518759389,1.7223263518759389,0.275025878281438,3.8987002902842978,5.3620846062690575,489.85294107745904,2009,452.5401068258569,9
1283,23.5,0.0,25.0,0.5118593424841261,19.794852,32.905413,58.0,2017,16.0,7
614,6.7,56.64,62.989999999999995,0.7746146832737935,7.32762,18.086138,180.0,2013,143.0,11
1376,11.535361920658037,0.0,1.5798279564332136,0.34635162321207774,7.193597696090848,7.830434837800432,350.80381541977414,2006,310.84585497267966,4
1682,6.06145844126274,0.24299710686818118,0.5303085214745118,0.3416552486650738,5.099593844708826,4.740603725117295,342.25210415274546,2011,302.25210415274546,4
2013,19.767378152420832,3.2340798317323927,11.315419297520986,0.2717314790951856,5.215392110337527,18.98112822734214,430.28875035381725,2003,380.0,7
2793,10.262610303910536,3.2915283309230317,43.878884443105484,0.38903351459000596,6.565775284437713,6.2024243584398615,698.7125239718848,2009,658.7125239718848,3
331,1.06,0.0,13.720000000000002,0.49670275000000014,9.046482000000001,5.434748000000001,180.0,2012,146.0,10
3423,17.108328350904014,5.06626629284097,34.8012623850456,0.403943314119912,6.349245199333077,3.065851186376926,236.64736339105286,2004,45.64736339105286,5
1989,10.633034838658226,1.7691189259508526,57.77952895707004,0.37376253156361433,4.054856924649945,6.502837441379896,498.59160893877026,2004,451.14405622646206,9
2730,17.098297440080195,6.159004492767247,61.57860507930678,0.4333318421097717,5.751318763602357,2.2568956067727153,222.12083833475387,2004,31.120838334753863,5
2423,6.0460082689329155,0.2527838949734629,7.141482878854668,0.4062389466082863,5.83735411710072,9.862788699491988,201.95413590562356,2011,191.36945691383193,11
3186,8.625558812645167,0.5616901175717811,18.3860132420583,0.3694607562391877,10.699290676221905,9.852064320347536,102.43444859704654,2007,479.2442130864976,6
3243,23.133078609588004,0.0,21.294963453494255,0.294297475400237,3.6251916551130736,15.92686118958294,144.36112557370805,2007,119.36112557370807,8
2717,18.065076533173226,2.747077156349813,31.272147203574153,0.36684692466150315,4.087345180083916,5.4107230938507245,318.09226220354304,2004,127.09226220354303,8
1026,20.5,2.0,1.0,0.6001916250924106,6.355009,23.092682,36.0,2016,363.0,6
2668,22.54635845351712,0.0,0.0,0.13289003891834303,7.923429853917079,6.3048453089663745,67.42030611348497,2007,42.420306113484976,5
2194,20.406325205729672,2.0172213716573366,4.695104764599828,0.2084608566996332,12.316309587410224,6.495070871274118,427.09412312074994,2009,390.09412312074994,6
2603,14.209753196776084,25.10291882938224,85.47590414313116,0.41444220388997305,12.87791930687304,15.183538929026009,23.973791793691902,2010,14.973791793691904,4
1346,21.237316827327625,13.441708122504965,17.929169704395356,0.26572830892144594,3.833688298834886,6.216382497336838,480.47676752256643,2003,428.47676752256643,8
1359,6.218091137286331,2.4634077166618082,5.433069795545192,0.41450677644723144,5.252564456590084,10.0148688556458,548.9450192825693,2004,503.02749035871534,11
425,0.6,1.52,2.79,0.6001295748992623,9.147237,27.068792,286.0,2013,252.0,2
1209,-4.3,1.0,36.0,0.7707377248884514,10.654588,22.76682,299.0,2017,260.0,3
1103,26.9,1.0,0.0,0.5725795764752553,4.76267,13.808093,121.0,2016,82.0,9
